Time,CPU Usage,CPU Temperature,Disk Usage,RAM Usage,Bytes Received,Bytes Transmitted
2023_05_31_13_37,7.8,57, 85%,26.16%,40.5,1.9
2023_05_31_13_39,10.9,57, 85%,26.26%,40.8,2.0
2023_05_31_13_43,11.1,56, 85%,26.18%,41.3,2.0
2023_05_31_13_45,11.3,56, 85%,26.19%,41.6,2.0
2023_05_31_13_46,9.9,55, 85%,26.25%,41.8,2.0
2023_05_31_13_47,9.9,55, 85%,26.19%,41.9,2.1
2023_05_31_13_48,8,56, 85%,26.12%,42.0,2.1
2023_05_31_13_49,13.3,56, 85%,26.24%,42.1,2.1
2023_05_31_13_50,24.4,57, 85%,26.28%,42.3,2.1
2023_05_31_13_51,10,57, 85%,26.29%,42.4,2.1
2023_05_31_13_52,11,55, 85%,26.36%,42.9,2.1
2023_05_31_13_53,18,55, 85%,26.25%,43.0,2.1
2023_05_31_13_54,20.9,56, 85%,26.26%,43.2,2.1
2023_05_31_13_55,11,56, 85%,26.28%,43.3,2.1
2023_05_31_13_56,9.8,57, 85%,26.26%,43.6,2.2
2023_05_31_13_57,21.6,57, 85%,26.31%,43.8,2.2
2023_05_31_13_58,9.9,56, 85%,26.32%,43.9,2.2
2023_05_31_13_59,9.9,57, 85%,26.26%,44.1,2.2
2023_05_31_14_00,10.9,56, 85%,26.39%,44.3,2.2
2023_05_31_14_01,7.8,58, 85%,26.39%,44.4,2.2
2023_05_31_14_02,11,56, 85%,26.46%,44.6,2.2
2023_05_31_14_03,24.1,57, 85%,25.93%,44.7,2.2
2023_05_31_14_04,17.8,57, 85%,25.53%,44.9,2.2
2023_05_31_14_05,9.9,55, 85%,25.95%,45.0,2.3
2023_05_31_14_06,99.4,72, 85%,44.13%,45.2,2.3
2023_05_31_14_07,100,76, 85%,47.32%,45.4,2.3
2023_05_31_14_08,18.2,65, 85%,21.43%,45.7,2.3
2023_05_31_14_09,20,61, 85%,21.50%,45.9,2.3
2023_05_31_14_10,8.9,59, 85%,21.50%,46.0,2.3
2023_05_31_14_11,14.4,58, 85%,21.56%,46.2,2.3
2023_05_31_14_12,9.1,57, 85%,21.53%,46.4,2.3
2023_05_31_14_13,10,56, 85%,21.58%,46.5,2.3
2023_05_31_14_14,9.9,55, 85%,21.61%,46.6,2.4
2023_05_31_14_15,9,56, 85%,21.69%,46.8,2.4
2023_05_31_14_16,7.9,56, 85%,21.97%,47.0,2.4
2023_05_31_14_17,19.8,57, 85%,22.19%,47.2,2.4
2023_05_31_14_18,11.3,57, 85%,22.40%,47.5,2.4
2023_05_31_14_19,40.2,63, 85%,22.76%,47.6,2.4
2023_05_31_14_20,33.3,65, 85%,23.06%,47.8,2.4
2023_05_31_14_21,8.9,63, 86%,23.29%,48.1,2.4
2023_05_31_14_22,17.2,60, 86%,23.20%,48.4,2.4
2023_05_31_14_23,7.9,60, 86%,22.62%,48.8,2.5
2023_05_31_14_24,11.1,58, 86%,23.20%,49.0,2.5
2023_05_31_14_25,99.1,70, 86%,33.42%,49.3,2.5
2023_05_31_14_26,96.1,78, 86%,47.62%,49.5,2.5
2023_05_31_14_27,97.6,82, 86%,47.30%,49.8,2.5
2023_05_31_14_28,92.7,83, 86%,47.17%,50.1,2.5
2023_05_31_14_29,99.1,83, 86%,46.56%,50.4,2.5
2023_05_31_14_30,98.6,84, 86%,46.45%,50.8,2.5
2023_05_31_14_31,98.3,83, 86%,46.44%,51.2,2.6
2023_05_31_14_32,98.1,84, 86%,46.42%,51.7,2.6
2023_05_31_14_33,97.3,84, 86%,46.51%,52.1,2.6
2023_05_31_14_34,99.1,84, 86%,46.54%,52.4,2.6
2023_05_31_14_35,98.3,83, 86%,46.61%,52.7,2.6
2023_05_31_14_36,8,71, 86%,11.32%,0.0,0.0
2023_05_31_14_37,9.1,69, 87%,12.69%,0.0,0.0
2023_05_31_14_38,8.9,65, 87%,11.43%,360.2,3.0
2023_05_31_14_39,62.6,75, 87%,21.94%,672.0,12.8
2023_05_31_14_40,18.3,67, 87%,18.77%,864.1,21.7
2023_05_31_14_41,52.3,65, 87%,18.27%,1.0,32.1
2023_05_31_14_42,9.1,62, 87%,18.27%,1.2,40.1
