Time,Plant alarm,Water alarm,Moisture level,Ambient light
2023_06_01_19_34,0,1,77,65
2023_06_01_19_34,0,1,77,64
2023_06_01_19_35,0,1,76,61
2023_06_01_19_35,0,0,76,63
2023_06_01_19_36,0,0,78,63
2023_06_01_19_36,0,0,80,62
2023_06_01_19_37,0,0,81,63
2023_06_01_19_37,0,0,79,63
2023_06_01_19_38,0,0,79,60
2023_06_01_19_38,0,0,78,61
2023_06_01_19_39,0,0,78,60
2023_06_01_19_39,0,0,78,61
2023_06_01_19_40,0,0,78,62
2023_06_01_19_40,0,0,78,61
2023_06_01_19_41,0,0,78,58
2023_06_01_19_41,0,1,78,63
2023_06_01_19_42,0,0,77,61
2023_06_01_19_42,0,0,77,60
2023_06_01_19_43,0,0,77,63
2023_06_01_19_43,0,0,77,65
2023_06_01_19_44,0,0,77,65
2023_06_01_19_44,0,0,78,64
2023_06_01_19_45,0,0,77,65
2023_06_01_19_45,0,0,77,65
2023_06_01_19_46,0,0,78,20
2023_06_01_19_46,0,0,77,59
2023_06_01_19_47,0,0,77,71
2023_06_01_19_47,0,0,77,1
2023_06_01_19_48,0,0,77,1
2023_06_01_19_48,0,0,77,1
2023_06_01_19_49,0,0,77,1
2023_06_01_19_49,0,0,77,1
2023_06_01_19_50,0,0,77,1
2023_06_01_19_50,0,0,77,1
2023_06_01_19_51,0,0,78,1
2023_06_01_19_51,0,0,77,1
2023_06_01_19_52,0,0,78,1
2023_06_01_19_52,0,0,77,1
2023_06_01_19_53,0,0,78,1
2023_06_01_19_53,0,0,78,1
2023_06_01_19_54,0,0,78,1
2023_06_01_19_54,0,0,78,1
2023_06_01_19_55,0,0,78,1
2023_06_01_19_55,0,0,78,1
2023_06_01_19_56,0,0,78,1
2023_06_01_19_56,0,0,78,1
2023_06_01_19_57,0,0,78,1
2023_06_01_19_57,0,0,79,1
2023_06_01_19_58,0,0,77,1
2023_06_01_19_58,0,0,78,1
2023_06_01_19_59,0,0,78,1
2023_06_01_19_59,0,0,78,1
2023_06_01_20_00,0,0,78,1
2023_06_01_20_00,0,0,79,1
2023_06_01_20_01,0,0,79,1
2023_06_01_20_01,0,0,79,1
2023_06_01_20_02,0,0,79,1
2023_06_01_20_02,0,0,78,1
2023_06_01_20_03,0,0,79,1
2023_06_01_20_03,0,0,79,1
2023_06_01_20_04,0,0,79,1
2023_06_01_20_04,0,0,79,1
2023_06_01_20_05,0,0,78,1
2023_06_01_20_05,0,0,79,1
2023_06_01_20_06,0,0,79,1
